PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Ram, VJ; Kumari, S				Ram, VJ; Kumari, S			Natural products of plant origin as anticancer agents	DRUG NEWS & PERSPECTIVES			English	Review							DNA TOPOISOMERASE-II; ANTI-TUMOR AGENT; VISCUM-ALBUM L; ANTITUMOR-ACTIVITY; MAMMALIAN-CELLS; ASIMINA-TRILOBA; ANNONA-BULLATA; CYTO-TOXICITY; PHASE-II; ANTINEOPLASTIC AGENTS	Natural products have been used as effective remedies for the treatment of various ailments. Numerous plant products in the form of decoction, tincture, tablets and capsules have been clinically used for the treatment of different kinds of cancer. This review covers some of the important plants with clinically proven anticancer activity, including Catharanthus roseus, Podophyllum peltatum, Taxus brevifolia, Camptothecin acuminata, Cephalotaxus harringtonia, Viscum album, Onchrosia elliptica, Annona bullata, Asmina triloba and Rhizoma zedoariae. Synthetic analogues in some cases have also been prepared to improve the efficacy and decrease the side effects of parent compounds. The modes of action of clinically used drugs are also delineated. (C) 2001 Prous Science. All rights reserved.	Cent Drug Res Inst, Div Med Chem, Lucknow 226001, Uttar Pradesh, India										155	32	35	0	20	PROUS SCIENCE, SA	BARCELONA	PO BOX 540, PROVENZA 388, 08025 BARCELONA, SPAIN	0214-0934			DRUG NEWS PERSPECT	Drug News Perspect.	OCT	2001	14	8					465	482		10.1358/dnp.2001.14.8.858416	http://dx.doi.org/10.1358/dnp.2001.14.8.858416			18	Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy	520BA	12806432				2022-09-29	WOS:000173759000005
J	Srivastava, SK; Rawat, AKS; Mehrotra, S; Pushpangadan, P				Srivastava, Sharad Kumar; Rawat, Ajay Kumar Singh; Mehrotra, Shanta; Pushpangadan, P.			Botanical standardization of three commercially important Curcuma species	JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH			English	Article						Amraharidra; anatomy; Curcuma; pharmacognosy		Amraharidra, botanically equated to Curcuma amada (Family, Zingiberaceae), is an important drug of Ayurveda. Rhizomes of other species (C. aromatica and C. zedoaria) of this genus, being rich in essential oil contents, are sold in herbal drug markets by the same vernacular name. Present study is aimed to standardize botanically all these three species for their authenticity, identity and validity.	Natl Bot Res Inst, Pharmacognosy & Ethnopharmacol Div, Lucknow 226001, Uttar Pradesh, India		Srivastava, SK (autor correspondente), Natl Bot Res Inst, Pharmacognosy & Ethnopharmacol Div, Lucknow 226001, Uttar Pradesh, India.	sharad_ks2003@yahoo.com							7	1	2	0	5	NATL INST SCIENCE COMMUNICATION-NISCAIR	NEW DELHI	DR K S KRISHNAN MARG, PUSA CAMPUS, NEW DELHI 110 012, INDIA	0022-4456	0975-1084		J SCI IND RES INDIA	J. Sci. Ind. Res.	JUN	2007	66	6					450	456						7	Engineering, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	177MA					2022-09-29	WOS:000247156000005
J	AHAMAD, PYA; AHMED, SM				AHAMAD, PYA; AHMED, SM			POTENTIAL OF SOME RHIZOMES OF ZINGIBERACEAE FAMILY AS GRAIN PROTECTANTS AGAINST STORAGE INSECT PESTS	JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE			English	Article								The comparative efficacy of indigenous plant species viz. Alpinia galanga Willd., Curcuma amada Roxb., Curcuma longa L., Curcuma zedoria Rose. and Zingiber officinale Rose. all belonging to the family Zingiberaceae was evaluated against Sitophilus oryzae (L). and Corcyra cephalonica (Staint.) infesting wheat Triticum sativum Lam. All the powdered rhizomes tested were found significantly superior to control in protecting the grain at the concentrations of 1 and 3% W/W in bringing about higher mortality of S. oryzae adults. The insect mortality was cent per cent in the treatments even at 1% level after 45 days. Besides, the treatments C. amada and C. longa were highly significantly effective in inhibiting the emergence of F1 generation of the weevil followed by A. galanga, C. zedoaria and Z. officinale. While against C. cephalonica larvae, the treatment A. galanga was the best grain protectant even at 1% level after a period of 15 and 30 days. However, at 3% level there was no significant difference between A. galanga, C. longa and Z. officinale and they were superior in causing high larval mortality followed by C. zedoaria and C. amada.	CENT FOOD TECHNOL RES INST,DISCIPLINE INFESTAT CONTROL & PROTECTANTS,MYSORE 570013,KARNATAKA,INDIA										0	6	8	0	3	ASSN FOOD SCIENT TECHN INDIA	MYSORE	CENTRAL FOOD TECHNOL RES INST, MYSORE 570013, INDIA	0022-1155			J FOOD SCI TECH MYS	J. Food Sci. Technol.-Mysore	NOV-DEC	1991	28	6					375	377						3	Food Science & Technology	Science Citation Index Expanded (SCI-EXPANDED)	Food Science & Technology	HF479					2022-09-29	WOS:A1991HF47900011
J	Goswami, CC				Goswami, Chayon Chayon			Protein solubility profile of shoti (Curcuma zedoaria)	CLINICAL BIOCHEMISTRY			English	Meeting Abstract						Extraction; Protein; Protein solubility; pH; Shoti meal			[Goswami, Chayon Chayon] BAU, Dept Biochem, Mymensingh 2202, Bangladesh			chayon.goswami@gmail.com							0	0	0	0	4	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0009-9120			CLIN BIOCHEM	Clin. Biochem.	SEP	2011	44	13		S			S233	S234		10.1016/j.clinbiochem.2011.08.569	http://dx.doi.org/10.1016/j.clinbiochem.2011.08.569			2	Medical Laboratory Technology	Science Citation Index Expanded (SCI-EXPANDED)	Medical Laboratory Technology	827OK					2022-09-29	WOS:000295437601163
J	KOUNO, I; KAWANO, N				KOUNO, I; KAWANO, N			STRUCTURE OF A GUAIANE FROM CURCUMA-ZEDOARIA	PHYTOCHEMISTRY			English	Note											KOUNO, I (autor correspondente), NAGASAKI UNIV,FAC PHARMACEUT SCI,NAGASAKI 852,JAPAN.								5	10	10	0	2	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB	0031-9422			PHYTOCHEMISTRY	Phytochemistry		1985	24	8					1845	1847		10.1016/S0031-9422(00)82567-4	http://dx.doi.org/10.1016/S0031-9422(00)82567-4			3	Biochemistry & Molecular Biology; Plant Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Plant Sciences	ANR39					2022-09-29	WOS:A1985ANR3900044
J	TACHIBANA, Y; KAWANISHI, K				TACHIBANA, Y; KAWANISHI, K			MITOGENIC ACTIVITIES IN THE PROTEIN-FRACTIONS OF CRUDE DRUGS	PLANTA MEDICA			English	Article						MITOGENIC ACTIVITY; PROTEIN FRACTION; CHINESE CRUDE DRUG; TARGET LYMPHOCYTE; BUPLEURI RADIX; PINELLIAE TUBER; SOPHORAE RADIX; ZEDOARIAE RHIZOMA	MURINE LYMPHOCYTES	Eighteen different crude drugs were extracted with hot water and saline, and protein fractions were prepared from the extracts by ammonium sulfate precipitation. Mitogenic activities of the protein fractions were examined both on human peripheral blood lymphocytes and on mouse spleen cells. Potent mitogenic activities for both human and/or mouse lymphocytes were found in the protein fractions of four crude drugs, namely, Bupleuri radix, Pinelliae tuber, Sophorae radix, and Zedoariae rhizoma. Target specificities of these mitogens were investigated by using isolated T and B cells and lymphocytes from athymic nude mice. Sensitivity to protease digestion as well as water-soluble, ammonium sulfate precipitable nature assures that the substances responsible for the mitogenic activities are proteins.			TACHIBANA, Y (autor correspondente), KOBE WOMENS COLL PHARM,4-19-1 MOTOYAMAKITA MACHI,HIGASHINADA KU,KOBE 658,JAPAN.								18	9	9	0	0	GEORG THIEME VERLAG	STUTTGART	P O BOX 30 11 20, D-70451 STUTTGART, GERMANY	0032-0943			PLANTA MED	Planta Med.	JUN	1992	58	3					250	254		10.1055/s-2006-961446	http://dx.doi.org/10.1055/s-2006-961446			5	Plant Sciences; Chemistry, Medicinal; Integrative & Complementary Medicine; Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine	HZ553	1409979				2022-09-29	WOS:A1992HZ55300006
J	TAKANO, I; YASUDA, I; TAKEYA, K; ITOKAWA, H				TAKANO, I; YASUDA, I; TAKEYA, K; ITOKAWA, H			GUAIANE SESQUITERPENE LACTONES FROM CURCUMA-AERUGINOSA	PHYTOCHEMISTRY			English	Article						CURCUMA AERUGINOSA (= C-ZEDOARIA); RHIZOMES; ZINGIBERACEAE; GUAIANE-TYPE SESQUITERPENE LACTONES; ZEDOALACTONE A; ZEDOALACTONE B	SHIFT CORRELATION; ASSIGNMENT; ZEDOARIA	Two guaiane derivatives were isolated from the rhizomes of Curcuma aeruginosa (= C. zedoaria). Their structures [(1S* 4S*, 5S*, 8R*, 10S*)-4,10-dihydroxyguai-7(11)-en-12,8-olide (zedoalactone A) and (1R*, 4S*, 5R*, 10R*)-1,4,10-trihydroxyguai-7(11),8-dien-12,8-olide (zedoalactone B)] were established by H-1 and C-13 NMR spectroscopic studies and by comparison with closely related compounds. In addition, the already known guaianolide zedoarondiol was isolated from the same source.	TOKYO METROPOLITAN RES LAB PUBL HLTH,SHINJUKU KU,TOKYO 169,JAPAN; TOKYO UNIV PHARM & LIFE SCI,DEPT PHARMACOGNOSY,HACHIOJI,TOKYO 19203,JAPAN										13	48	51	1	12	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB	0031-9422			PHYTOCHEMISTRY	Phytochemistry	NOV	1995	40	4					1197	1200		10.1016/0031-9422(95)00425-7	http://dx.doi.org/10.1016/0031-9422(95)00425-7			4	Biochemistry & Molecular Biology; Plant Sciences	Index Chemicus (IC); Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Plant Sciences	TB788					2022-09-29	WOS:A1995TB78800033
J	Tomohara, K; Ito, T; Hasegawa, N; Kato, A; Adachi, I				Tomohara, Keisuke; Ito, Tomohiro; Hasegawa, Naoto; Kato, Atsushi; Adachi, Isao			Direct chemical derivatization of natural plant extract: straightforward synthesis of natural plant-like hydantoin	TETRAHEDRON LETTERS			English	Article						Direct chemical derivatization; Natural plant extract; Bucherer-Bergs reaction; Hydantoin; Tetrasubstituted carbon; Curcuma zedoaria	AMINO-ACID-DERIVATIVES; CURCUMA-ZEDOARIA; ENGINEERED EXTRACTS; PRODUCT SYNTHESIS; SESQUITERPENOIDS; INHIBITION; ARYLATION; RECEPTOR; DESIGN	The direct chemical derivatization of natural plant extracts that would enable the straightforward synthesis of natural plant-like molecules seemed to be far from reality due primarily to the inherently complex chemical property of the extract. After model studies, the envisioned derivatization was realized under the rationally designed Bucherer-Bergs reaction conditions to afford unnatural hydantoin with tetrasubstituted carbon from the ethyl acetate extract of Curcuma zedoaria. The reaction proceeded with enough chemoselectivity to identify the desired product from the mixture by the reliable guidance of spectroscopic analyses. (C) 2016 Elsevier Ltd. All rights reserved.	[Tomohara, Keisuke; Ito, Tomohiro; Hasegawa, Naoto; Kato, Atsushi; Adachi, Isao] Toyama Univ, Dept Hosp Pharm, 2630 Sugitani, Toyama 9300194, Japan		Tomohara, K; Adachi, I (autor correspondente), Toyama Univ, Dept Hosp Pharm, 2630 Sugitani, Toyama 9300194, Japan.	tomohara@med.u-toyama.ac.jp; adachi@med.u-toyama.ac.jp			JSPS KAKENHI Grant [26870217]; Tamura Science and Technology Foundation	JSPS KAKENHI Grant(Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)); Tamura Science and Technology Foundation	We wish to thank an anonymous reviewer for valuable comments on a manuscript of this study. This work was financially supported by the JSPS KAKENHI Grant Number 26870217 and the Tamura Science and Technology Foundation.		37	13	13	2	22	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0040-4039			TETRAHEDRON LETT	Tetrahedron Lett.	FEB 24	2016	57	8					924	927		10.1016/j.tetlet.2016.01.054	http://dx.doi.org/10.1016/j.tetlet.2016.01.054			4	Chemistry, Organic	Science Citation Index Expanded (SCI-EXPANDED); Index Chemicus (IC)	Chemistry	DE0IH					2022-09-29	WOS:000370307800023
J	Subeki; Matsuura, H; Yamasaki, M; Yamato, O; Maede, Y; Katakura, K; Suzuki, M; Trimurningish; Chairul; Yoshihara, T				Subeki; Matsuura, H; Yamasaki, M; Yamato, O; Maede, Y; Katakura, K; Suzuki, M; Trimurningish; Chairul; Yoshihara, T			Effects of Central Kalimantan plant extracts on intraerythrocytic Babesia gibsoni in culture	JOURNAL OF VETERINARY MEDICAL SCIENCE			English	Article							INDONESIAN MEDICINAL-PLANTS; 3 SESQUITERPENOIDS; INFECTIONS; LEAVES	The inhibitory effects of 45 plant extracts selected from Central Kalimantan, Indonesia on Babesia gibsoni in vitro and their acute toxicity to mice were evaluated. Of these plant extracts studied, Arcangelisia flava, Curcuma zedoaria, Garcinia benthamiana, Lansium domesticum and Peronema canescens were found to have appreciable antibabesial activity with IC50 values from 5.3 to 49.3,ug/ml without acute toxicity in mice at the intraperitoneal dose of 0.7 g/kg of body weight.	Hokkaido Univ, Grad Sch Agr, Div Appl Biosci, Bioorgan Chem Lab, Sapporo, Hokkaido 0608589, Japan; Hokkaido Univ, Grad Sch Vet Med, Lab Internal Med, Dept Vet Clin Sci, Sapporo, Hokkaido 0600818, Japan; Gunma Univ, Sch Med, Dept Parasitol, Maebashi, Gumma 3718511, Japan; Indonesian Inst Sci, Dept Res & Dev Biol, Bogor 16122, Indonesia		Yoshihara, T (autor correspondente), Hokkaido Univ, Grad Sch Agr, Div Appl Biosci, Bioorgan Chem Lab, Sapporo, Hokkaido 0608589, Japan.		Matsuura, Hideyuki/B-1075-2012	Yamato, Osamu/0000-0002-4430-5645; Subeki, Subeki/0000-0002-3938-2945					23	23	23	0	2	JAPAN SOC VET SCI	TOKYO	UNIV TOKYO, 1-1-1 YAYOI, BUNKYO-KU, TOKYO, 103, JAPAN	0916-7250	1347-7439		J VET MED SCI	J. Vet. Med. Sci.	JUL	2004	66	7					871	874		10.1292/jvms.66.871	http://dx.doi.org/10.1292/jvms.66.871			4	Veterinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Veterinary Sciences	849LK	15297762	Bronze			2022-09-29	WOS:000223539900020
J	Phukerd, U; Soonwera, M				Phukerd, Ubol; Soonwera, Mayura			Repellency of essential oils extracted from Thai native plants against Aedes aegypti (Linn.) and Culex quinquefasciatus (Say)	PARASITOLOGY RESEARCH			English	Article						Herbal essential oil; Repellency; Aedes aegypti; Culex quinquefasciatus	APIUM-GRAVEOLENS L.; ANOPHELES-STEPHENSI; LARVICIDAL ACTIVITY; MOSQUITO REPELLENCY; DIPTERA-CULICIDAE; INSECT REPELLENTS; BITING RATE; EFFICACY; DEET; PERMETHRIN	Repellent activity of essential oils derived from 10 Thai native plants, belonging to three families were evaluated against female Aedes aegypti and Culex quinquefasciatus and to compare them with a commercial chemical repellents (DEET; N,N-diethyl-3-methylbenzamide 20 % w/w; Sketolene ShieldA (R)). Each test repellent was applied at 1, 5, and 10 % concentrations for testing by arm in cage method. The results showed significant differences in repellency among the repellents by mosquito species. The protection time of the essential oils against Ae. aegypti ranged from 3 to 30 min. According to the Culex mosquito, it showed the protection time ranged from 3 to 260 min. 10 % Boesenbergia rotunda essential oil provided the best efficiency, in which protection time was 4.3 h as equal as DEET. The essential oils which exhibited protection time more than 2 h were those of 10 % Zingiber zerumbet, Litsea petiolata, Curcuma zedoaria, and Zingiber cassumunar essential oils (3.1, 2.8, 2.6, and 2.3 h, respectively). The biting percentage ranged from 0.9 to 18.0 % and 0.8 to 3.6 % against Ae. aegypti and Cx. quinquefasciatus, respectively. The results revealed that the potential of essential oil extracted from B. rotunda, Z. zerumbet, L. petiolata, C. zedoaria, and Z. cassumunar had attributes of good repellent and deterred biting. We recommend the five essential oils for further study to develop as commercial repellents.	[Phukerd, Ubol; Soonwera, Mayura] King Mongkuts Inst Technol Ladkrabang, Fac Agr Technol, Plant Prod Technol Sect, Bangkok 10520, Thailand		Phukerd, U (autor correspondente), King Mongkuts Inst Technol Ladkrabang, Fac Agr Technol, Plant Prod Technol Sect, Bangkok 10520, Thailand.	bonne_03@hotmail.com							42	18	20	0	34	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0932-0113	1432-1955		PARASITOL RES	Parasitol. Res.	SEP	2014	113	9					3333	3340		10.1007/s00436-014-3996-4	http://dx.doi.org/10.1007/s00436-014-3996-4			8	Parasitology	Science Citation Index Expanded (SCI-EXPANDED)	Parasitology	AO2WE	25088471				2022-09-29	WOS:000341186400023
J	Zhang, GN; Ashby, CR; Zhang, YK; Chen, ZS; Guo, HQ				Zhang, Guan-Nan; Ashby, Charles R., Jr.; Zhang, Yun-Kai; Chen, Zhe-Sheng; Guo, Huiqin			The reversal of antineoplastic drug resistance in cancer cells by beta-elemene	CHINESE JOURNAL OF CANCER			English	Review						Rhizoma zedoariae; beta-Elemene; Multidrug resistance	MEDIATED MULTIDRUG-RESISTANCE; EPITHELIAL OVARIAN-CANCER; P-GLYCOPROTEIN INHIBITION; GLUTATHIONE-S-TRANSFERASE; LUNG-CANCER; IN-VITRO; CARCINOMA-CELLS; BREAST-CANCER; TUMOR-CELLS; CURCUMA-ZEDOARIA	Multidrug resistance (MDR), defined as the resistance of cancer cells to compounds with diverse structures and mechanisms of actions, significantly limits the efficacy of antitumor drugs. A major mechanism that mediates MDR in cancer is the overexpression of adenosine triphosphate (ATP)-binding cassette transporters. These transporters bind to their respective substrates and catalyze their efflux from cancer cells, thereby lowering the intracellular concentrations of the substrates and thus attenuating or even abolishing their efficacy. In addition, cancer cells can become resistant to drugs via mechanisms that attenuate apoptosis and cell cycle arrest such as alterations in the p53, check point kinase, nuclear factor kappa B, and the p38 mitogen-activated protein kinase pathway. In this review, we discuss the mechanisms by which beta-elemene, a compound extracted from Rhizoma zedoariae that has clinical antitumor efficacy, overcomes drug resistance in cancer.	[Zhang, Guan-Nan; Ashby, Charles R., Jr.; Zhang, Yun-Kai; Chen, Zhe-Sheng] St Johns Univ, Dept Pharmaceut Sci, Coll Pharm & Hlth Sci, Queens, NY 11439 USA; [Guo, Huiqin] Beijing Union Med Coll Hosp, Dept Thorac Surg, Beijing 100730, Peoples R China		Chen, ZS (autor correspondente), St Johns Univ, Dept Pharmaceut Sci, Coll Pharm & Hlth Sci, Queens, NY 11439 USA.	chenz@stjohns.edu; guohuiqin2@163.com		Chen, Zhe-Sheng/0000-0002-8289-097X; Zhang, Yunkai/0000-0003-2490-5501	St. John's University Research Seed Grant [579-1110-7002]	St. John's University Research Seed Grant	This work was supported by St. John's University Research Seed Grant (No. 579-1110-7002) to Zhe-Sheng Chen.		79	30	31	2	19	SUN YAT SEN UNIV MED SCI WHO	GUANGZHOU	651 DONGFENG RD E, GUANGZHOU, GUANGDONG 510060, PEOPLES R CHINA	1000-467X	1944-446X		CHIN J CANCER	Chin. J. Cancer	SEP 14	2015	34								45	10.1186/s40880-015-0048-0	http://dx.doi.org/10.1186/s40880-015-0048-0			8	Oncology	Science Citation Index Expanded (SCI-EXPANDED)	Oncology	CR4CX		gold, Green Published			2022-09-29	WOS:000361280500003
J	Sasikumar, B; Syamkumar, S; Remya, R; Zachariah, TJ				Sasikumar, B; Syamkumar, S; Remya, R; Zachariah, TJ			PCR based detection of adulteration in the market samples of turmeric powder	FOOD BIOTECHNOLOGY			English	Article						adulteration; curcumin; market samples; RAPD; turmeric powder		This article describes an efficient, relatively original method for the detection of extraneous Curcuma Sp. contamination in the powdered market samples of turmeric using molecular markers (RAPD), which are not easily discriminated by other analytical techniques routinely used for the identification of adulterants in powdered market samples of turmeric. Three market samples of turmeric powder studied revealed the presence of more Curcuma zedoaria (wild species) powder than Curcuma longa (the common culinary turmeric) powder. though the curcumin levels of the samples tallied with the quality standards prescribed for the commodity.	Indian Inst Spices Res, Div Crop Improvement & Biotechnol, Kolkata 673012, Kerala, India		Sasikumar, B (autor correspondente), Indian Inst Spices Res, Div Crop Improvement & Biotechnol, Kolkata 673012, Kerala, India.	bhaskaransasikumar@yahoo.com	sivasankara pillai, syamkumar/L-7324-2016	sivasankara pillai, syamkumar/0000-0002-9187-703X					13	58	58	0	12	TAYLOR & FRANCIS INC	PHILADELPHIA	530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA	0890-5436	1532-4249		FOOD BIOTECHNOL	Food Biotechnol.		2004	18	3					299	306		10.1081/LFBT-200035022	http://dx.doi.org/10.1081/LFBT-200035022			8	Biotechnology & Applied Microbiology; Food Science & Technology	Science Citation Index Expanded (SCI-EXPANDED)	Biotechnology & Applied Microbiology; Food Science & Technology	879RU					2022-09-29	WOS:000225737400004
J	Widyowati, R; Agil, M				Widyowati, Retno; Agil, Mangestuti			Chemical Constituents and Bioactivities of Several Indonesian Plants Typically Used in Jamu	CHEMICAL & PHARMACEUTICAL BULLETIN			English	Review						bioactive; Zingiberaceae; Justicia gendarussa; Cassia siamea	CURCUMA-AERUGINOSA ROXB.; NITRIC-OXIDE PRODUCTION; ESSENTIAL OIL; ANTIMICROBIAL ACTIVITY; ALPINIA-GALANGA; CASSIA-SIAMEA; SESQUITERPENES; RHIZOMES; XANTHORRHIZA; INHIBITORS	This article reviews the chemical constituents and bioactivities of several Indonesian plants typically used in Jamu prescriptions in Indonesia. Jamu is Indonesia traditional medicine: it consists of either a single ingredient or a mixture of several medicinal plants. One plant family always used in Jamu is Zingiberaceae (ginger), such as Curcuma domestica/C. longa, C. xanthorrhizae, C. heyneana, C. zedoaria, C. aeruginosa, Zingiber aromaticum, Alpinia galanga. We also report other commonly used plant families such as Justicia gendarussa and Cassia siamea, whose activities have been extensively explored by our department.	[Widyowati, Retno; Agil, Mangestuti] Airlangga Univ, Fac Pharm, Surabaya, Indonesia		Widyowati, R (autor correspondente), Airlangga Univ, Fac Pharm, Surabaya, Indonesia.	retno_biotek@yahoo.com	Widyowati, apt. Retno/ABD-4812-2020	Widyowati, apt. Retno/0000-0002-6166-1289					102	21	21	1	17	PHARMACEUTICAL SOC JAPAN	TOKYO	2-12-15 SHIBUYA, SHIBUYA-KU, TOKYO, 150-0002, JAPAN	0009-2363			CHEM PHARM BULL	Chem. Pharm. Bull.	MAY	2018	66	5					506	518		10.1248/cpb.c17-00983	http://dx.doi.org/10.1248/cpb.c17-00983			13	Chemistry, Medicinal; Chemistry, Multidisciplinary; Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy; Chemistry	GE3FH	29710047	gold, Green Accepted			2022-09-29	WOS:000431098700005
J	Hamdi, OAA; Awang, K; Hadi, AHA; Syamsir, DR; Ng, SW				Hamdi, Omer Abdalla Ahmed; Awang, Khalijah; Hadi, A. Hamid A.; Syamsir, Devi Rosmy; Ng, Seik Weng			Curcumenol from Curcuma zedoaria: a second monoclinic modification	ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE			English	Article								The title compound, systematic name 9-isopropylidene-2,6dimethyl-11-oxatricyclo[6.2.1.0(1,5)] undec-6-en-8-ol, (CHO2)-H-15-O-22, which crystallizes with two molecules of similar conformation in the asymmetric unit, features three fused rings, two of which are five-membered and the third six-membered. Of the two five-membered rings, the one with an O atom has a distinct envelope shape(with the O atom representing the flap). The six-membered ring is also envelope-shaped as it shares a common O atom with the five-membered ring. In the crystal, the two independent molecules are linked by a pair of O-H center dot center dot center dot O hydrogen bonds, generating a dimer.	[Hamdi, Omer Abdalla Ahmed; Awang, Khalijah; Hadi, A. Hamid A.; Syamsir, Devi Rosmy; Ng, Seik Weng] Univ Malaya, Dept Chem, Kuala Lumpur 50603, Malaysia		Ng, SW (autor correspondente), Univ Malaya, Dept Chem, Kuala Lumpur 50603, Malaysia.	seikweng@um.edu.my	Syamsir, Devi Rosmy/AAB-1276-2020; AWANG, KHALIJAH/B-8781-2010; Syamsir, Devi Rosmy/C-4950-2011; Hamdi, Omer/P-6513-2019; A.Hadi, A.Hamid/B-8079-2010	AWANG, KHALIJAH/0000-0001-5971-6570; 	University of Malaya	University of Malaya(Universiti Malaya)	We thank the University of Malaya for supporting this study.		5	8	8	0	15	WILEY-BLACKWELL	MALDEN	COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA	1600-5368			ACTA CRYSTALLOGR E	Acta Crystallogr. Sect. E.-Struct Rep. Online	NOV	2010	66		11				O2844	U439		10.1107/S1600536810040559	http://dx.doi.org/10.1107/S1600536810040559			13	Crystallography	Science Citation Index Expanded (SCI-EXPANDED)	Crystallography	695TA	21589030	Green Published, gold			2022-09-29	WOS:000285394300035
J	Chen, JJ; Tsai, TH; Chen, KS; Liao, HR				Chen, J. J.; Tsai, T. H.; Chen, K. S.; Liao, H. R.			Bioactive constituents from the rhizomes of Curcuma zedoaria	PLANTA MEDICA			English	Meeting Abstract	62nd International Congress and Annual Meeting of the Society-of-Medicinal-Plant-and-Natural-Product-Research	AUG 31-SEP 04, 2014	Guimaraes, PORTUGAL	Soc Med Plant & Nat Prod Res		Curcuma zedoaria; Zingiberaceae; sesquiterpenoids; anti-platelet aggregation activity			[Chen, J. J.; Tsai, T. H.] Tajen Univ, Grad Inst Pharmaceut Technol, Pingtung 907, Taiwan; [Chen, J. J.; Chen, K. S.] Tajen Univ, Dept Pharm, Pingtung 907, Taiwan; [Liao, H. R.] Chang Gung Univ, Coll Med, Grad Inst Nat Prod, Taoyuan 333, Taiwan										0	0	0	0	5	GEORG THIEME VERLAG KG	STUTTGART	RUDIGERSTR 14, D-70469 STUTTGART, GERMANY	0032-0943	1439-0221		PLANTA MED	Planta Med.	NOV	2014	80	16				P2071	1540	1540						1	Plant Sciences; Chemistry, Medicinal; Integrative & Complementary Medicine; Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine	AU4AB					2022-09-29	WOS:000345550400587
